YEAR,RD,PICK,TEAM,PLAYER,POS,SCHOOL,TYPE,ST,SIGNED,BONUS
2023,16,469,Kansas City Royals,Josh Hansell,RHP,Arizona State,4YR,AZ,N,
2023,16,470,Detroit Tigers,Donye Evans,RHP,UNC Charlotte,4YR,NC,N,
2023,16,471,Texas Rangers,Jake Brown,LHP,Sulphur HS,HS,LA,N,
2023,16,472,Colorado Rockies,Austin Emener,LHP,East Tennessee St U,4YR,TN,N,
2023,16,473,Miami Marlins,Kevin Vaupel,LHP,Seton Hill University,4YR,PA,N,
2023,16,474,Los Angeles Angels,Rio Foster,OF,Florence-Darlington Tech,JC,SC,N,
2023,16,475,Arizona Diamondbacks,Matthew Linskey,RHP,Rice,4YR,TX,N,
2023,16,476,Chicago Cubs,Daniel Brown,LHP,Campbell University,4YR,NC,N,
2023,16,477,Minnesota Twins,Anthony Silvas,RHP,Riverside CC,JC,CA,N,
2023,16,478,Boston Red Sox,Isaac Stebens,RHP,Oklahoma State,4YR,OK,N,
2023,16,479,Chicago White Sox,Weston Eberly,C,Columbia,4YR,NY,N,
2023,16,480,San Francisco Giants,Justin Wishkoski,3B,Sam Houston,4YR,TX,N,
2023,16,481,Baltimore Orioles,Cole Urman,C,Cal State Fullerton,4YR,CA,N,
2023,16,482,Milwaukee Brewers,Josh Timmerman,RHP,Ohio State,4YR,OH,N,
2023,16,483,Tampa Bay Rays,Wooyeoul Shin,1B,Miami Dade College,JC,FL,N,
2023,16,484,Toronto Blue Jays,Jackson Hornung,C,Skidmore Col,4YR,NY,N,
2023,16,485,St. Louis Cardinals,Tyler Bradt,RHP,East Carolina,4YR,NC,N,
2023,16,486,New York Mets,Jacob Zitella,3B,St Charles East HS,HS,IL,N,
2023,16,487,Seattle Mariners,Caleb Cali,3B,Arkansas,4YR,AR,N,
2023,16,488,Cleveland Guardians,Jeffrey Heuer,RHP,Georgia Home Education Association,HS,GA,N,
2023,16,489,Atlanta Braves,Isaac Gallegos,RHP,New Mexico,4YR,NM,N,
2023,16,490,Los Angeles Dodgers,Javen Coleman,LHP,LSU,4YR,LA,N,
2023,16,491,San Diego Padres,Sam Whiting,RHP,UC Santa Barbara,4YR,CA,N,
2023,16,492,New York Yankees,Andrew Landry,RHP,Southeastern Louisiana University,4YR,LA,N,
2023,16,493,Philadelphia Phillies,Luke Russo,RHP,Eastern Michigan,4YR,MI,N,
2023,16,494,Houston Astros,Will Bush,C,Tyler JC,JC,TX,N,
2023,17,495,Washington Nationals,Merrick Baldo,RHP,Loyola Marymount University,4YR,CA,N,
2023,17,496,Oakland Athletics,Colby Halter,2B,Florida,4YR,FL,N,
2023,17,497,Pittsburgh Pirates,Daniel Cuvet,3B,ESB Academy,HS,FL,N,
2023,17,498,Cincinnati Reds,JeanPierre Ortiz,TWP,Chipola College,JC,FL,N,
2023,17,499,Kansas City Royals,Connor Oliver,LHP,Miami University,4YR,OH,N,
2023,17,500,Detroit Tigers,Bradley Stewart,LHP,Cooper City HS,HS,FL,N,
2023,17,501,Texas Rangers,Kamdyn Perry,RHP,Bishop Gorman HS,HS,NV,N,
2023,17,502,Colorado Rockies,Aidan Longwell,1B,Kent State,4YR,OH,N,
2023,17,503,Miami Marlins,Mark Coley,OF,University Of Rhode Island,4YR,RI,N,
2023,17,504,Los Angeles Angels,Logan Britt,RHP,Abilene Christian,4YR,TX,N,
2023,17,505,Arizona Diamondbacks,Carlos Rey,LHP,Nova Southeastern University,4YR,FL,N,
2023,17,506,Chicago Cubs,Ethan Flanagan,LHP,UCLA,4YR,CA,N,
2023,17,507,Minnesota Twins,Kade Bragg,LHP,Angelo State,4YR,TX,N,
2023,17,508,Boston Red Sox,Dylan Schlaegel,OF,Legacy HS,HS,TX,N,
2023,17,509,Chicago White Sox,Mikey Kane,IF,Oregon State,4YR,OR,N,
2023,17,510,San Francisco Giants,Drew Cavanaugh,C,Florida Southern,4YR,FL,N,
2023,17,511,Baltimore Orioles,Zane Barnhart,RHP,Hillsdale College,4YR,MI,N,
2023,17,512,Milwaukee Brewers,Jacob Gholston,RHP,Flower Mound HS,HS,TX,N,
2023,17,513,Tampa Bay Rays,Hayden Snelsire,RHP,Randolph-Macon College,4YR,VA,N,
2023,17,514,Toronto Blue Jays,Sam Kulasingam,1B,Air Force,4YR,CO,N,
2023,17,515,St. Louis Cardinals,Trey Paige,3B,Delaware State University,4YR,DE,N,
2023,17,516,New York Mets,Bryce Jenkins,RHP,Tennessee,4YR,TN,N,
2023,17,517,Seattle Mariners,Jacob Sharp,C,UNLV,4YR,NV,N,
2023,17,518,Cleveland Guardians,Barrett Riebock,OF,Paris JC,JC,TX,N,
2023,17,519,Atlanta Braves,Kade Kern,OF,Ohio State,4YR,OH,N,
2023,17,520,Los Angeles Dodgers,Luke Fox,LHP,Duke,4YR,NC,N,
2023,17,521,San Diego Padres,Eric Yost,RHP,Northeastern,4YR,MA,N,
2023,17,522,New York Yankees,Wilson Rodriguez,OF,Academia Presbiteriana HS,HS,CYP,N,
2023,17,523,Philadelphia Phillies,A.J. Shaver,OF,Florida Southwestern State College,JC,FL,N,
2023,17,524,Houston Astros,Colby Langford,LHP,Murray State Col,JC,OK,N,
2023,18,525,Washington Nationals,Nate Rombach,C,Dallas Baptist,4YR,TX,N,
2023,18,526,Oakland Athletics,Derrick Tarpley,OF,Brownsville Area HS,HS,PA,N,
2023,18,527,Pittsburgh Pirates,Kalae Harrison,SS,NC State,4YR,NC,N,
2023,18,528,Cincinnati Reds,Drew Pestka,RHP,John A. Logan College,JC,IL,N,
2023,18,529,Kansas City Royals,Stone Russell,C,IMG Academy,HS,FL,N,
2023,18,530,Detroit Tigers,Ethan Farris,3B,Cypress Woods HS,HS,TX,N,
2023,18,531,Texas Rangers,Brendan Morse,RHP,Niagara County CC,JC,NY,N,
2023,18,532,Colorado Rockies,Yanzel Correa,RHP,International Baseball Academy,HS,CYP,N,
2023,18,533,Miami Marlins,Tristan Dietrich,LHP,Owen J. Roberts HS,HS,PA,N,
2023,18,534,Los Angeles Angels,Dalton Kendrick,LHP,University Of Memphis,4YR,TN,N,
2023,18,535,Arizona Diamondbacks,Alec Baker,RHP,Dallas Baptist,4YR,TX,N,
2023,18,536,Chicago Cubs,Brian Kalmer,3B,Gonzaga,4YR,WA,N,
2023,18,537,Minnesota Twins,Hector Garcia,RHP,Hope International U,4YR,CA,N,
2023,18,538,Boston Red Sox,Zach Fogell,LHP,Connecticut,NA,CT,N,
2023,18,539,Chicago White Sox,Anthony Imhoff,LHP,Pima CC,JC,AZ,N,
2023,18,540,San Francisco Giants,Michael Rodriguez,LHP,North Greenville University,4YR,SC,N,
2023,18,541,Baltimore Orioles,Tanner Witt,RHP,Texas,4YR,TX,N,
2023,18,542,Milwaukee Brewers,Dylan Watts,RHP,Tacoma CC,JC,WA,N,
2023,18,543,Tampa Bay Rays,Jeremy Pilon,LHP,Ecole Secondaire Du Chene-Bleu,HS,QC,N,
2023,18,544,Toronto Blue Jays,Chase Brunson,OF,San Clemente HS,HS,CA,N,
2023,18,545,St. Louis Cardinals,Hunter Kublick,RHP,Umpqua CC,JC,OR,N,
2023,18,546,New York Mets,Gavyn Jones,LHP,White Oak HS,HS,TX,N,
2023,18,547,Seattle Mariners,Daniel Ouderkirk,RHP,Penn State,NA,PA,N,
2023,18,548,Cleveland Guardians,Matt Jachec,RHP,Indiana State,4YR,IN,N,
2023,18,549,Atlanta Braves,Cam Magee,SS,Washington State,4YR,WA,N,
2023,18,550,Los Angeles Dodgers,Sterling Patick,LHP,South Hills HS,HS,CA,N,
2023,18,551,San Diego Padres,Harry Gustin,LHP,Hawaii,4YR,HI,N,
2023,18,552,New York Yankees,Coby Morales,OF,Washington,4YR,WA,N,
2023,18,553,Philadelphia Phillies,Ethan Chenault,RHP,UNC Wilmington,4YR,NC,N,
2023,18,554,Houston Astros,Derek True,RHP,Cal Poly,4YR,CA,N,
2023,19,555,Washington Nationals,James Ellwanger,RHP,Magnolia West HS,HS,TX,N,
2023,19,556,Oakland Athletics,Derek Salata,RHP,Illinois State,4YR,IL,N,
2023,19,557,Pittsburgh Pirates,Tyler Kennedy,RHP,Florida Southwestern State College,JC,FL,N,
2023,19,558,Cincinnati Reds,Herick Hernandez,LHP,Miami Dade College,JC,FL,N,
2023,19,559,Kansas City Royals,Donovan LaSalle,OF,Barbe HS,HS,LA,N,
2023,19,560,Detroit Tigers,Blake Pivaroff,RHP,Arizona State,4YR,AZ,N,
2023,19,561,Texas Rangers,Eiljah Ickes,OF,Kamehameha HS,HS,HI,N,
2023,19,562,Colorado Rockies,Kannon Handy,LHP,Colorado Mesa U,4YR,CO,N,
2023,19,563,Miami Marlins,Johnny Olmstead,3B,USC,4YR,CA,N,
2023,19,564,Los Angeles Angels,Raudi Rodriguez,OF,Georgia Premier Academy,HS,GA,N,
2023,19,565,Arizona Diamondbacks,Wyatt Crenshaw,2B,Arizona St U,4YR,AZ,N,
2023,19,566,Chicago Cubs,Nick Dean,RHP,Maryland,4YR,MD,N,
2023,19,567,Minnesota Twins,Sam Parker,1B,Kennesaw Mountain HS,HS,GA,N,
2023,19,568,Boston Red Sox,Stanley Tucker,OF,Texas A&M,4YR,TX,N,
2023,19,569,Chicago White Sox,Caden Connor,OF,Cal State Fullerton,4YR,CA,N,
2023,19,570,San Francisco Giants,Tom Kane,LHP,Maryland,4YR,MD,N,
2023,19,571,Baltimore Orioles,Kollin Ritchie,SS,Atoka HS,HS,OK,N,
2023,19,572,Milwaukee Brewers,Isaac Morton,RHP,Spring Lake Park HS,HS,MN,N,
2023,19,573,Tampa Bay Rays,Owen Stevenson,RHP,Arizona State,4YR,AZ,N,
2023,19,574,Toronto Blue Jays,Aaron Munson,RHP,Angelo St U,4YR,TX,N,
2023,19,575,St. Louis Cardinals,Graysen Tarlow,C,Cal State Northridge,4YR,CA,N,
2023,19,576,New York Mets,Christian Little,RHP,LSU,4YR,LA,N,
2023,19,577,Seattle Mariners,Charlie Pagliarini,3B,Fairfield,4YR,CT,N,
2023,19,578,Cleveland Guardians,Josh Harlow,RHP,Mercer U,4YR,GA,N,
2023,19,579,Atlanta Braves,Riley Frey,LHP,Milwaukee,4YR,WI,N,
2023,19,580,Los Angeles Dodgers,Spencer Green,RHP,Richland HS,HS,WA,N,
2023,19,581,San Diego Padres,Adler Cecil,X,Temecula Valley HS,HS,CA,N,
2023,19,582,New York Yankees,Cade Austin,RHP,South Carolina,4YR,SC,N,
2023,19,583,Philadelphia Phillies,Casey Steward,RHP,Washburn University,4YR,KS,N,
2023,19,584,Houston Astros,Andrew Duncan,OF,A3 Academy,HS,FL,N,
2023,20,585,Washington Nationals,Isaac Ayon,RHP,Oregon,4YR,OR,N,
2023,20,586,Oakland Athletics,Diego Barrera,LHP,,,,N,
2023,20,587,Pittsburgh Pirates,Peyton Stumbo,RHP,Nevada,4YR,NV,N,
2023,20,588,Cincinnati Reds,Gabe Gaeckle,RHP,Aptos HS,HS,CA,N,
2023,20,589,Kansas City Royals,Blake Wilson,SS,Santa Margarita Catholic HS,HS,CA,N,
2023,20,590,Detroit Tigers,Johnathan Rogers,RHP,Tupelo HS,HS,MS,N,
2023,20,591,Texas Rangers,Laif Palmer,RHP,Golden HS,HS,CO,N,
2023,20,592,Colorado Rockies,Troy Butler,RHP,Herkimer County CC,JC,NY,N,
2023,20,593,Miami Marlins,Ryan Ignoffo,TWP,Eastern Illinois,4YR,IL,N,
2023,20,594,Los Angeles Angels,Mac McCroskey,SS,Oral Roberts,4YR,OK,N,
2023,20,595,Arizona Diamondbacks,Dominic Voegele,RHP,Columbia HS,HS,IL,N,
2023,20,596,Chicago Cubs,Drew Bowser,3B,Stanford,4YR,CA,N,
2023,20,597,Minnesota Twins,Ashton Larson,OF,Saint Thomas Aquinas HS,HS,KS,N,
2023,20,598,Boston Red Sox,Robert Orloski,RHP,Middleton HS,HS,ID,N,
2023,20,599,Chicago White Sox,Garrett Wright,RHP,TCU,4YR,TX,N,
2023,20,600,San Francisco Giants,Nadir Lewis,OF,Princeton,4YR,NJ,N,
2023,20,601,Baltimore Orioles,Jalen Vasquez,SS,North Greenville University,4YR,SC,N,
2023,20,602,Milwaukee Brewers,Justin Chambers,LHP,Basha HS,HS,AZ,N,
2023,20,603,Tampa Bay Rays,Max Stanley,RHP,Douglas County HS,HS,CO,N,
2023,20,604,Toronto Blue Jays,Peterson,LHP,Sierra JC,JC,CA,N,
2023,20,605,St. Louis Cardinals,Cameron Johnson,LHP,IMG Academy,HS,FL,N,
2023,20,606,New York Mets,Kellum Clark,OF,Mississippi State,4YR,MS,N,
2023,20,607,Seattle Mariners,William Watson,RHP,San Joaquin Delta College,JC,CA,N,
2023,20,608,Cleveland Guardians,Ryan Marohn,LHP,Freedom HS,HS,VA,N,
2023,20,609,Atlanta Braves,Will King,C,Eastern Kentucky U,4YR,KY,N,
2023,20,610,Los Angeles Dodgers,Uiagalelei,X,Oregon St U,NA,OR,N,
2023,20,611,San Diego Padres,Choi,SS,New Mexico Military Institute,JC,NM,N,
2023,20,612,New York Yankees,Bryce Warrecker,RHP,Cal Poly,4YR,CA,N,
2023,20,613,Philadelphia Phillies,Pierce Bennett,2B,Wake Forest,4YR,NC,N,
2023,20,614,Houston Astros,Pascanel Ferreras,SS,Western Carolina,4YR,NC,N,
